ShortName	ENName
1BC	SDA Bible Commentary, vol. 1 (EGW)
1MCP	Mind, Character, and Personality, vol. 1
1SAT	Sermons and Talks, vol. 1
1SG	Spiritual Gifts, vol. 1
1SM	Selected Messages Book 1
1SP	The Spirit of Prophecy, vol. 1
1T	Testimonies for the Church, vol. 1
1TT	Testimony Treasures, vol. 1
2BC	SDA Bible Commentary, vol. 2 (EGW)
2MCP	Mind, Character, and Personality, vol. 2
2SAT	Sermons and Talks, vol. 2
2SG	Spiritual Gifts, vol. 2
2SM	Selected Messages Book 2
2SP	The Spirit of Prophecy, vol. 2
2T	Testimonies for the Church, vol. 2
2TT	Testimony Treasures, vol. 2
3BC	SDA Bible Commentary, vol. 3 (EGW)
3SG	Spiritual Gifts, vol. 3
3SM	Selected Messages Book 3
3SP	The Spirit of Prophecy, vol. 3
3T	Testimonies for the Church, vol. 3
3TT	Testimony Treasures, vol. 3
4aSG	Spiritual Gifts, vol. 4a
4BC	SDA Bible Commentary, vol. 4 (EGW)
4bSG	Spiritual Gifts, vol. 4b
4SP	The Spirit of Prophecy, vol. 4
4T	Testimonies for the Church, vol. 4
5BC	SDA Bible Commentary, vol. 5 (EGW)
5T	Testimonies for the Church, vol. 5
6BC	SDA Bible Commentary, vol. 6 (EGW)
6T	Testimonies for the Church, vol. 6
6T	Testimonies for the Church, vol. 6
7ABC	SDA Bible Commentary, vol. 7A (EGW)
7BC	SDA Bible Commentary, vol. 7 (EGW)
7T	Testimonies for the Church, vol. 7
8T	Testimonies for the Church, vol. 8
9T	Testimonies for the Church, vol. 9
AA	The Acts of the Apostles
Advance	The Advance
Advocate	The Advocate
AG	God's Amazing Grace
AH	The Adventist Home
ApM	An Appeal to Mothers
AUCR	Australasian Union Conference Record
AUGleaner	Atlantic Union Gleaner
AustYouth	Our Australasian Youth and Sabbath School Guide
AY	An Appeal to the Youth
Banner	East Michigan Banner
BEcho	Bible Echo and Signs of the Times
BEcho	The Bible Echo
BEcho	Australasian Signs of the Times
BLJ	To Be Like Jesus
Broadside1	To the Little Remnant Scattered Abroad
Broadside2	To Those who are receiving the seal of the living God
Broadside3	A Vision
BTS	Bible Training School
Bulletin	Church and Sabbath School Bulletin
Canvasser	The Atlantic Canvasser
Caterer	The Hygienic Caterer
CC	Conflict and Courage
CCh	Counsels for the Church
CD	Counsels on Diet and Foods
CE	Christian Education
CentralAdvance	The Central Advance
CET	Christian Experience and Teachings of Ellen G. White
CEv	The Colporteur Evangelist
CG	Child Guidance
CH	Counsels on Health
ChL	Christian Leadership
ChristianEducation	Christian Education
ChristianEducator	The Christian Educator
ChS	Christian Service
CIHS	Christ in His Sanctuary
CL	Country Living
CM	Colporteur Ministry
CME	A Call to Medical Evangelism and Health Education
COL	Christ’s Object Lessons
CollegeRecord	(Battle Creek) College Record
Con	Confrontation
CS	Counsels on Stewardship
CSA	A Call To Stand Apart
CSW	Counsels on Sabbath School Work
CT	Counsels to Parents, Teachers, and Students
CTBH	Christian Temperance and Bible Hygiene
CTr	Christ Triumphant
CUM	The Canadian Union Messenger
CW	Counsels to Writers and Editors
DA	The Desire of Ages
DD	Darkness Before Dawn
DG	Daughters of God
DS	The Day
Echoes	Echoes From the Field
Ed	Education
EducationalMessenger	The Educational Messenger
EP	From Eternity Past
Ev	Evangelism
EW	Early Writings
ExV	A Sketch of the Christian Experience and Views of Ellen G. White
ExV54	Supplement to the Christian Experience and Views of Ellen G. White
